//Data Set,Label,Longitude,Latitude,Level,Country,Province,City,District,Township,Neighborhood,Confirmed,Suspected,Healed,Dead,Increased Confirmed,Increased Suspected,Increased Healed,Increased Dead,Comments,Time
"New Coronavirus Pneumonia",,112.465091,23.047191,"City","China","Guangdong Province","肇庆",,,,19,0,13,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.925456,21.662999,"City","China","Guangdong Province","茂名",,,,14,0,9,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,111.982232,21.857958,"City","China","Guangdong Province","阳江",,,,14,0,10,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.597522,24.810403,"City","China","Guangdong Province","韶关",,,,10,0,9,0,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,113.26653,23.132191,"Province","China","Guangdong Province",,,,,1348,0,936,7,1,0,36,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.119927,21.481254,"City","China","Guangxi Province","北海",,,,44,0,32,1,0,0,3,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.366543,22.817002,"City","China","Guangxi Province","南宁",,,,55,0,46,0,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.221465,23.750306,"City","China","Guangxi Province","来宾",,,,11,0,3,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.415953,24.325502,"City","China","Guangxi Province","柳州",,,,24,0,15,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.290194,25.273566,"City","China","Guangxi Province","桂林",,,,32,0,24,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,111.279115,23.476962,"City","China","Guangxi Province","梧州",,,,5,0,5,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.085261,24.692931,"City","China","Guangxi Province","河池",,,,28,0,8,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.164756,22.636379,"City","China","Guangxi Province","玉林",,,,11,0,7,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.618201,23.902333,"City","China","Guangxi Province","百色",,,,3,0,3,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.598926,23.11153,"City","China","Guangxi Province","贵港",,,,8,0,6,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,111.566694,24.403582,"City","China","Guangxi Province","贺州",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.654146,21.979933,"City","China","Guangxi Province","钦州",,,,8,0,7,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.353846,21.68686,"City","China","Guangxi Province","防城港",,,,19,0,8,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.327546,22.815478,"Province","China","Guangxi Province",,,,,252,0,168,2,0,0,-5,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,104.830359,26.592666,"City","China","Guizhou Province","六盘水",,,,10,0,8,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,105.947593,26.253072,"City","China","Guizhou Province","安顺",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,105.285011,27.301693,"City","China","Guizhou Province","毕节",,,,23,0,15,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.630153,26.647661,"City","China","Guizhou Province","贵阳",,,,36,0,27,1,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.927389,27.725654,"City","China","Guizhou Province","遵义",,,,32,0,19,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.191551,27.718346,"City","China","Guizhou Province","铜仁",,,,10,0,10,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.982859,26.583442,"City","China","Guizhou Province","黔东南州",,,,10,0,10,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.522097,26.254092,"City","China","Guizhou Province","黔南州",,,,17,0,15,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,104.906396,25.087825,"City","China","Guizhou Province","黔西南州",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.70741,26.598194,"Province","China","Guizhou Province",,,,,146,0,112,2,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,110.391073,18.795143,"City","China","Hainan Province","万宁",,,,13,0,11,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,109.511909,18.252847,"City","China","Hainan Province","三亚",,,,54,0,43,1,0,0,0,0,,"2020-02-28 18:38:00"
