gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
2170,6,117.793428,40.957552,双滦区,,130803,0314,130803000000,,,双滦,,,,,,,1210,2,100,1002,1210,2170,,,,
2171,6,117.654782,40.545688,鹰手营子矿区,,130804,0314,130804000000,,,鹰手营子矿,,,,,,,1210,2,100,1002,1210,2171,,,,
2172,6,118.167377,40.766608,承德县,,130821,0314,130821000000,,,承德,,,,,,,1210,2,100,1002,1210,2172,,,,
2173,6,117.494046,40.41604,兴隆县,,130822,0314,130822000000,,,兴隆,,,,,,,1210,2,100,1002,1210,2173,,,,
2174,6,117.326119,40.939718,滦平县,,130824,0314,130824000000,,,滦平,,,,,,,1210,2,100,1002,1210,2174,,,,
2175,6,117.73233,41.311829,隆化县,,130825,0314,130825000000,,,隆化,,,,,,,1210,2,100,1002,1210,2175,,,,
2176,6,116.639967,41.207225,丰宁满族自治县,,130826,0314,130826000000,,,,,,,,,,1210,2,100,1002,1210,2176,,,,
2177,6,118.479067,40.609909,宽城满族自治县,,130827,0314,130827000000,,,,,,,,,,1210,2,100,1002,1210,2177,,,,
2178,6,117.753469,41.936411,围场满族蒙古族自治县,,130828,0314,130828000000,,,,,,,,,,1210,2,100,1002,1210,2178,,,,
2179,6,118.167377,40.766608,承德高新技术产业开发区,,130821,0314,130871000000,,,,,,,,,,1210,2,100,1002,1210,2179,,,,
2180,6,117.956084,40.95249,平泉市,,130800,0314,130881000000,,,平泉,,,,,,,1210,2,100,1002,1210,2180,,,,
2181,6,116.860535,38.313903,新华区,,130902,0317,130902000000,,,新华,,,,,,,1211,2,100,1002,1211,2181,,,,
2182,6,116.826473,38.309573,运河区,,130903,0317,130903000000,,,运河,,,,,,,1211,2,100,1002,1211,2182,,,,
2183,6,117.001424,38.219149,沧县,,130921,0317,130921000000,,,,,,,,,,1211,2,100,1002,1211,2183,,,,
2184,6,116.798421,38.58237,青县,,130922,0317,130922000000,,,,,,,,,,1211,2,100,1002,1211,2184,,,,
2185,6,116.531428,37.887616,东光县,,130923,0317,130923000000,,,东光,,,,,,,1211,2,100,1002,1211,2185,,,,
2186,6,117.490371,38.140865,海兴县,,130924,0317,130924000000,,,海兴,,,,,,,1211,2,100,1002,1211,2186,,,,
2187,6,117.224462,38.057364,盐山县,,130925,0317,130925000000,,,盐山,,,,,,,1211,2,100,1002,1211,2187,,,,
2188,6,115.823852,38.422247,肃宁县,,130926,0317,130926000000,,,肃宁,,,,,,,1211,2,100,1002,1211,2188,,,,
2189,6,116.702304,38.037905,南皮县,,130927,0317,130927000000,,,南皮,,,,,,,1211,2,100,1002,1211,2189,,,,
2190,6,116.385543,37.626723,吴桥县,,130928,0317,130928000000,,,吴桥,,,,,,,1211,2,100,1002,1211,2190,,,,
2191,6,116.116716,38.189302,献县,,130929,0317,130929000000,,,,,,,,,,1211,2,100,1002,1211,2191,,,,
2192,6,117.098001,38.052509,孟村回族自治县,,130930,0317,130930000000,,,,,,,,,,1211,2,100,1002,1211,2192,,,,
2193,6,116.935138,38.28249,河北沧州经济开发区,,130921,0317,130971000000,,,,,,,,,,1211,2,100,1002,1211,2193,,,,
