# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
眸,1551,0.0000031940257459727444,0.9978722434265576
蔚,1548,0.0000031878477464640927,0.997875431274304
栅,1548,0.0000031878477464640927,0.9978786191220504
媲,1546,0.000003183729080124992,0.9978818028511306
瀑,1544,0.000003179610413785891,0.9978849824615443
戮,1543,0.000003177551080616341,0.9978881600126249
禹,1542,0.00000317549174744679,0.9978913355043724
璐,1541,0.00000317343241427724,0.9978945089367867
骇,1540,0.000003171373081107689,0.9978976803098678
嗖,1539,0.000003169313747938139,0.9979008496236157
绮,1537,0.000003165195081599038,0.9979040148186973
凋,1534,0.0000031590170820903865,0.9979071738357794
殉,1526,0.000003142542416733983,0.9979103163781962
冀,1525,0.0000031404830835644327,0.9979134568612797
涤,1520,0.0000031301864177166804,0.9979165870476975
祯,1520,0.0000031301864177166804,0.9979197172341152
馍,1516,0.000003121949085038479,0.9979228391832002
枭,1514,0.0000031178304186993778,0.997925957013619
妊,1514,0.0000031178304186993778,0.9979290748440377
幺,1512,0.0000031137117523602768,0.99793218855579
龚,1509,0.0000031075337528516255,0.9979352960895429
壹,1508,0.000003105474419682075,0.9979384015639626
茜,1504,0.000003097237087003873,0.9979414988010497
畔,1501,0.000003091059087495222,0.9979445898601371
膛,1496,0.0000030807624216474696,0.9979476706225587
窑,1496,0.0000030807624216474696,0.9979507513849804
蟆,1495,0.0000030787030884779193,0.9979538300880688
枷,1494,0.0000030766437553083686,0.9979569067318241
喃,1494,0.0000030766437553083686,0.9979599833755795
掂,1488,0.000003064287756291066,0.9979630476633358
娅,1486,0.000003060169089951965,0.9979661078324257
炙,1481,0.0000030498724241042127,0.9979691577048497
馄,1480,0.0000030478130909346624,0.9979722055179406
筐,1480,0.0000030478130909346624,0.9979752533310315
糜,1477,0.000003041635091426011,0.997978294966123
芜,1475,0.00000303751642508691,0.9979813324825481
祀,1471,0.0000030292790924087086,0.9979843617616405
恃,1466,0.0000030189824265609563,0.9979873807440671
腼,1466,0.0000030189824265609563,0.9979903997264937
蛊,1461,0.000003008685760713204,0.9979934084122545
嘚,1461,0.000003008685760713204,0.9979964170980152
忏,1460,0.0000030066264275436537,0.9979994237244427
瘟,1458,0.0000030025077612045527,0.9980024262322039
绚,1456,0.0000029983890948654517,0.9980054246212988
沁,1451,0.0000029880924290176994,0.9980084127137279
玮,1448,0.000002981914429509048,0.9980113946281574
釉,1446,0.000002977795763169947,0.9980143724239205
戛,1445,0.000002975736430000397,0.9980173481603506
腆,1443,0.000002971617763661296,0.9980203197781142
茵,1440,0.0000029654397641526445,0.9980232852178784
藕,1437,0.000002959261764643993,0.998026244479643
